"categoryPath","title","author","heShortDesc","heDesc","heDescNew"
"שו""ת>אחרונים","חזה התנופה","משה די ברושלייש","קיצור של תשובות נבחרות משו""ת הרא""ש שחיבר תלמידו, הרב משה די ברושליש, ויצא לאור לראשונה במאה ה-18 על ידי החיד""א.","קיצור של תשובות הרא""ש, נדפס על ידי החיד""א בספר השו""ת שלו ""חיים שאל"".","קיצור של תשובות הרא""ש שחיבר תלמידו רבי משה די ברושליש, ונדפס על ידי החיד""א בתוך ספר השו""ת שלו 'חיים שאל'."
"שו""ת>אחרונים","תשובות בית חדש","יואל בן שמואל סירקיש","״תשובות בית חדש״ הוא קובץ שו״ת העוסק, בין השאר, בענייני כשרות, ממונות, ברכות, ברית מילה ועוד. הספר נכתב על ידי רבי יואל סירקיש (הב״ח) במאה ה-17 בקרקוב, פולין.","״תשובות בית חדש״ הוא קובץ שו״ת (שאלות ותשובות) מהמאה ה-17 שנכתב על ידי רבי יואל סירקיש (המכונה גם: הב״ח), אחד מחשובי האחרונים, במאה ה-17 בקרקוב, פולין. הקובץ מחולק לשלושה חלקים: ״הישנות״ - תשובות הלכתיות בענייני תערובות בכשרות (בירור הדין ההלכתי כאשר מאכל לא-כשר התערב עם מאכל) ובדיני ממונות. החלק השני - ״החדשות״ - בענייני ברכות, שחיטה וטריפה בבהמות, ברית מילה, פת עכו״ם, דיני ייבום ועניינים שבינו לבינה. החלק השלישי - ״קונטרס אחרון״ - עיונים בספרו העיקרי של המחבר (״בית חדש״) המפרש את ספרו ההלכתי של רבי יעקב בן אשר מהמאה ה-14 - ״ארבעה טורים״. קריאה בקובץ זה מעניקה לקורא הצצה ללבטים ולדילמות של יהדות פולין במאות ה-16 וה-17.","""תשובות בית חדש"" הוא קובץ שאלות ותשובות מהמאה ה-17 מאת רבי יואל סירקיש (המכונה הב""ח), מחשובי האחרונים, בקרקוב שבפולין. הקובץ מחולק לשלושה חלקים: ""הישנות"" — תשובות בענייני תערובות בכשרות ובדיני ממונות; ""החדשות"" — בענייני ברכות, שחיטה וטריפה, ברית מילה, פת עכו""ם, דיני ייבום ועניינים שבינו לבינה; ו""קונטרס אחרון"" — עיונים בחיבורו העיקרי 'בית חדש' המפרש את 'ארבעה טורים' לרבי יעקב בן אשר."
"שו""ת>אחרונים","שו""ת רב פעלים","יוסף חיים","שאלות ותשובות מאת רבי יוסף חיים מבגדד, ""הבן איש חי,"" בן המאה ה-19.","ספר השו""ת בן ארבעה חלקים של רבי יוסף חיים מבגדאד, בעל הבן איש חי. בספר זה הוא משיב לשואליו מארצות שונות ורבות כסינגפור, הודו, ארץ ישראל ואף מוילנה. בסוף כל כרך נכתב קונטרס ""סוד ישרים"", ובו שאלות בתורת הסוד. כרבים מספריו האחרים של ר' יוסף חיים, גם שמו של ספר זה לקוח מפסוק בספר שמואל, המתאר את בניהו בן יהוידע, מגיבורי דוד המלך. הסיבה לכך היא שהמחבר ביקר בקברו של בניהו בן יהוידע והרגיש שם הארה מיוחדת, ומזה הוא הבין שנשמתו קשורה לנשמת בניהו בן יהוידע, ולכך החליט לקרוא לספריו על שמו.","ספר השו""ת בן ארבעה חלקים מאת רבי יוסף חיים מבגדאד, בעל 'הבן איש חי'. בספר זה הוא משיב לשואליו מארצות רבות, כסינגפור, הודו, ארץ ישראל ואף וילנה. בסוף כל כרך נדפס קונטרס 'סוד ישרים' ובו שאלות בתורת הסוד. כרבים מספריו, גם שם ספר זה לקוח מפסוק בספר שמואל המתאר את בניהו בן יהוידע מגיבורי דוד המלך; רבי יוסף חיים ביקר בקברו של בניהו והרגיש שם הארה מיוחדת, והבין שנשמתו קשורה לנשמת בניהו, ולכן קרא לספריו על שמו."
"שו""ת>אחרונים","בנין ציון","יעקב אטלינגר","שאלות ותשובות מאת הרב יעקב אטלינגר, מגדולי רבני גרמניה במאה ה-19 ומחבר הספר ""ערוך לנר"".","שו""ת מבעל ה""ערוך לנר"".","שאלות ותשובות מאת רבי יעקב אטלינגר, בעל 'ערוך לנר'."
"שו""ת>אחרונים","שו""ת מהרשד""ם","שמואל די מדינה","שאלות ותשובות מאת רבי שמואל די מדינה, בן המאה ה-16, מגדולי רבני יוון.","קרוב לאלף תשובות לשאלות הלכתיות שנשלחו להרשד""ם מאיטליה ומכל אזור הבלקנים, אשר חלקן יצאו לאור בשנת 1582 עוד בחייו של המחבר תחת השם 'פסקי רשד""ם', והשאר לאחר מותו על ידי בנו, משה, אשר סידר מחדש את כל התשובות לפי סדר הטור.","קרוב לאלף תשובות לשאלות הלכתיות שנשלחו אל הרשד""ם מאיטליה ומכל אזור הבלקן. חלקן יצאו לאור בשנת 1582 עוד בחיי המחבר תחת השם 'פסקי רשד""ם', והשאר לאחר פטירתו על ידי בנו משה, שסידר מחדש את התשובות לפי סדר הטור."
"שו""ת>אחרונים","מטה לוי","מרקוס הורוביץ","שאלות ותשובות מאת הרב מרדכי הורוויץ, רב בפרנקפורט בן המאה ה-19 וחתנו של מחבר הספר ""ערוך לנר"".","",""
"שו""ת>אחרונים","שו""ת מהר""ם פדוואה","מהר""ם פדובה","קובץ שאלות ותשובות הלכתיות מהמאה ה-16 מאת ר' מאיר קצנלנבוגן","שו""ת מהר""ם מפדוואה הוא חיבור מהמאה ה-16 מאת רבי מאיר קצנלנבוגן. בספרו קצנלנבוגן מתייחס לשאלות שקיבל מיהודים בערים מרחבי אירופה וכולל התכתבות עם דמויות רבניות בולטות.","שו""ת מהר""ם מפדואה הוא חיבור מהמאה ה-16 מאת רבי מאיר קצנלנבוגן. בספרו הוא נזקק לשאלות שקיבל מיהודים בערים ברחבי אירופה, והוא כולל התכתבות עם גדולי הרבנים בדורו."
"שו""ת>אחרונים","תשובות רבי עקיבא איגר","עֲקִיבָא  אֵיגֶר","אוסף תשובות הלכתיות מאת ר' עקיבא איגר, רב ומנהיג בולט ביהדות אירופה בסוף המאה ה-18 ותחילת המאה ה-19","'תשובות רבי עקיבא איגר' הוא קובץ תשובות הלכתיות מאת רבי עקיבא איגר, רב ומנהיג בולט של יהדות אירופה בסוף המאה ה-18 ותחילת המאה ה-19, שנתן מענה לשאלות הלכתיות שנשלחו אליו מקהילות יהודיות ברחבי אירופה. המהדורה הראשונה של ספר שו""ת זה יצאה לאור בשנת תרצ""ה, 1835, בימי חייו של איגר. איגר כתב הוראות מפורטות לגבי אופן הדפסת חיבורו, כולל הנחיות לגבי הדיו והנייר הנדפס. המהדורות הבאות כוללות תשובות נוספות מאת איגר שלא נכללו בדפוס המקורי.","'תשובות רבי עקיבא איגר' הוא קובץ תשובות הלכתיות מאת רבי עקיבא איגר, מגדולי רבני אירופה בסוף המאה ה-18 ותחילת המאה ה-19, שהשיב על שאלות שנשלחו אליו מקהילות ברחבי אירופה. המהדורה הראשונה יצאה לאור בשנת תרצ""ה (1835) בחייו. רבי עקיבא איגר כתב הוראות מפורטות לאופן הדפסת חיבורו, ובכללן הנחיות בדבר הדיו והנייר. המהדורות הבאות כוללות תשובות נוספות שלא נכללו בדפוס המקורי."
"שו""ת>אחרונים","שאילת יעבץ","יעקב עמדין","""שאילת יעבץ"" הוא ספר שאלות ותשובות הלכתי מאת רבי יעקב בן צבי עמדין, מגדולי רבני גרמניה של המאה ה-18. הספר זכה לפרסום גדול ולפופולאריות רבה, ותשובותיו צוטטו בספרי האחרונים אלפי פעמים.","""שאילת יעבץ"" הוא ספר שאלות ותשובות הלכתי מאת רבי יעקב בן צבי עמדין, מגדולי הרבנים של יהדות גרמניה במאה ה־18. בהקדמתו המליצית לספר מספר רבי יעקב עמדין כיצד אביו הנחה אותו לחתום על ספריו בכינוי ""יעב""ץ""– ראשי תיבות של שמו ושם אביו. בנוסף הוא מתאר כיצד לימוד התורה וכתיבת הספר עזרו לו לנוכח התבגרותו וחייו הקשים. שאילת יעבץ נדפס בשני חלקים, ומכיל מאות סימנים. הספר מקיף נושאים הלכתיים רבים כמו: דיני נישואין, שבת, איסור והיתר, תפילה ועוד. הספר זכה לפרסום גדול ולפופולריות רבה, ותשובותיו של רבי יעקב עמדין צוטטו בספרי האחרונים אלפי פעמים.","""שאילת יעבץ"" הוא ספר שאלות ותשובות מאת רבי יעקב בן צבי עמדין, מגדולי רבני גרמניה במאה ה-18. בהקדמתו המליצית מספר רבי יעקב עמדין כיצד הנחהו אביו לחתום על ספריו בכינוי 'יעב""ץ' — ראשי תיבות שמו ושם אביו, וכיצד סייעו לו לימוד התורה וכתיבת הספר בהתמודדות עם תלאות חייו. הספר נדפס בשני חלקים ומכיל מאות סימנים בנושאים הלכתיים רבים: נישואין, שבת, איסור והיתר, תפילה ועוד. הספר זכה לפרסום רב ותשובותיו צוטטו בספרי האחרונים אלפי פעמים."
"שו""ת>אחרונים","אדמת קודש","","שו""ת וחידושים על ארבעת חלקי השולחן ערוך, שכתב הרב ניסים חיים משה מזרחי במאה ה-18.","",""
"שו""ת>אחרונים","מלמד להועיל חלק א","דוד צבי הופמן","שאלות ותשובות מאת הרב דוד צבי הופמן, בן המאה ה-20, בנושאים הנידונים בחלק ""אורח חיים"" בשולחן ערוך.","",""
"שו""ת>אחרונים","מלמד להועיל חלק ב","דוד צבי הופמן","שאלות ותשובות בנושאים הנידונים בחלק ""יורה דעה"" בשולחן ערוך, כדוגמת שחיטה וכשרות.","",""
"שו""ת>אחרונים","חוות יאיר","יאיר חיים בכרך","שאלות ותשובות מאת הרב יאיר חיים בכרך, בן המאה ה-17, המצוטטות רבות אצל פוסקי הלכה מאוחרים יותר.","",""
"שו""ת>אחרונים","חכם צבי","צבי אשכנזי","שאלות ותשובות מאת הרב צבי הירש אשכנזי, רב הקהילה האשכנזית של אמסטרדם במאה ה-17, עם שאלות שהגיעו מקהילות בכל רחבי אירופה.","",""
"שו""ת>אחרונים","אבקת רוכל","יוסף קארו","ספר שאלות ותשובות מהמאה ה-16 מאת רבי יוסף קארו בעל ה'שולחן ערוך'","אבקת רוכל הוא ספר שאלות ותשובות מהמאה ה-16 מאת רבי יוסף קארו בעל ה'שולחן ערוך'. הספר מורכב מ-217 תשובות לשאלות הלכתיות ביניהן גם תשובות של רבנים אחרים שנכתבו בהקשר לתשובתו ההלכתית של רבי יוסף קארו. תשובות רבות בחיבור זה מפרטות את הדיון ההלכתי שמופיע בקצרה יותר בחיבור ""בית יוסף"" של קארו. בשנת 1598 פרסם בנו של קארו, יהודה, חלק מהיצירה, ובו תשובות הלכתיות בדיני משפחה, תחת הכותרת ""שו""ת בית יוסף"". הספר 'אבקת רוכל' הודפס לראשונה במתכונתו הנוכחית בשנת 1791 בסלוניקי.","אבקת רוכל הוא ספר שאלות ותשובות מהמאה ה-16 מאת רבי יוסף קארו, בעל ה'שולחן ערוך'. הספר מורכב מ-217 תשובות לשאלות הלכתיות, ובהן גם תשובות של רבנים אחרים שנכתבו סביב פסקיו. תשובות רבות בו מרחיבות דיונים הלכתיים המופיעים בקצרה בחיבורו 'בית יוסף'. בשנת 1598 פרסם בנו יהודה חלק מהחיבור, ובו תשובות בדיני משפחה, תחת הכותרת 'שו""ת בית יוסף'. הספר נדפס במתכונתו הנוכחית לראשונה בשנת 1791 בסלוניקי."
"שו""ת>אחרונים","תשובות מהרש""ל","מהרש""ל","שאלות ותשובות מאת הרב שלמה לוריא, בן המאה ה-16, מחבר הספר ""ים של שלמה"".","",""
"שו""ת>אחרונים","בנין עולם","יצחק אייזיק חבר","ספר שאלות ותשובות הלכתיות מהמאה ה-18 מאת הרב הליטאי יצחק אייזיק חבר","'בניין עולם' הוא ספר שאלות ותשובות הלכתיות מהמאה ה-18 מאת הרב הליטאי יצחק אייזיק חבר, העוסק בנושאים הקשורים לחלקי השולחן ערוך: 'אורח חיים' ו'יורה דעה'. היצירה כוללת הקדמה מאת בנו של המחבר, רבי יעקב חבר, שערך את סדר התשובות ההלכתיות לכדי להוציאן לאור.","'בניין עולם' הוא ספר שאלות ותשובות הלכתיות מהמאה ה-18 מאת הרב הליטאי יצחק אייזיק חבר, העוסק בנושאים שבחלקי 'אורח חיים' ו'יורה דעה' שבשולחן ערוך. החיבור כולל הקדמה מאת בנו, רבי יעקב חבר, שערך את התשובות והוציאן לאור."
"שו""ת>אחרונים","מלמד להועיל חלק ג","דוד צבי הופמן","שאלות ותשובות, בנושאים הנידונים בחלק ""אבן העזר"" (דיני משפחה) ובחלק ""חושן משפט"" (דיני ממונות) בשולחן ערוך.","",""
"שו""ת>אחרונים","הלכות קטנות","ישראל יעקב בן שמואל חגיז","שו״ת מהמאה ה-17 מאת הרב ישראל יעקב חגיז","
הרב ישראל יעקב חגיז, רב מהמאה ה-17 שנולד במרוקו ולימים כיהן כראש ישיבת 'בית יעקב', הישיבה הירושלמית הגדולה במאה ה-17. מדי שבוע העלה חגיז שאלה ההלכתית או תלמודית בפני תלמידי הישיבה וריכז את תשובותיו הקצרות לשאלות אלו בספר בשם ""הלכות קטנות"", במטרה לסייע לתלמידיו ללמוד ולשנן את פסקי ההלכה. הספר 'הלכות קטנות' יצא לאור לאחר מותו של חגיז על ידי בנו, הרב משה חגיז, שהוסיף הרחבה משלו תחת הכותרת ""אמר המניח"" (מני""ח, ראשי תיבות משה (ב)'ן יעקב חגיז).
","רבי ישראל יעקב חגיז, מרבני המאה ה-17, נולד במרוקו ולימים כיהן כראש ישיבת 'בית יעקב', הישיבה הירושלמית הגדולה במאה ה-17. מדי שבוע העלה חגיז שאלה הלכתית או תלמודית בפני תלמידי הישיבה, וריכז את תשובותיו הקצרות בספר 'הלכות קטנות' כדי לסייע לתלמידיו ללמוד ולשנן את פסקי ההלכה. הספר יצא לאור לאחר פטירתו על ידי בנו, רבי משה חגיז, שהוסיף הרחבה משלו תחת הכותרת 'אמר המניח' (מני""ח — ראשי תיבות משה בן יעקב חגיז)."
"שו""ת>אחרונים","שאלות ותשובות רמ""א","משה בן ישראל איסרלישׂ","שאלות ותשובות מאת הרמ""א, מגדולי רבני פולין במאה ה-16 ומחבר ההגהות לשולחן ערוך.","",""
"שו""ת>גאונים","אגרת רב שרירא גאון","","מכתב רב־השפעה מהמאה העשירית המתאר את התפתחות התורה שבעל פה מימי המשנה ועד הגאונים.","איגרת המתאר בהרחבה השתלשלות התורה שבע""פ וסדר דורות המסורת, שנכתב כתשובה לחכמי קהילת קירואן בתוניסיה. יש כמה נוסחאות של האיגרת, שתים מהם מופיעים פה.","איגרת המתארת בהרחבה את השתלשלות התורה שבעל פה וסדר הדורות והמסורת, שנכתבה כתשובה לחכמי קהילת קירואן שבתוניסיה. קיימות כמה נוסחאות לאיגרת, ושתיים מהן מובאות כאן."
"שו""ת>גאונים","תשובות הגאונים","","אוסף שאלות ותשובות שיצא לאור בעקבות כתב יד שהתגלה בחברון במאה ה-19.","",""
"שו""ת>גאונים","תורתן של ראשונים","","אוסף כתבי יד של שאלות ותשובות וחיבורים נוספים מימי הגאונים שיצא לאור במאה ה-19.","",""
"שו""ת>ראשונים","תשובות הריב""ש","יצחק בר שֵׁשֶׁת","שאלות ותשובות מאת הרב יצחק בן ששת, בן המאה ה-14 שחי בספרד ובצפון אפריקה, המצוטטות פעמים רבות בשולחן ערוך.","שו""ת מהריב""ש, מצוטט הרבה ב""שלחן ערוך"", שכותב כי רבו ר 'יעקב בי רב הסתמך רבות על פסיקותיו והעדיף אותו מעל כל שאר הפוסקים.","שאלות ותשובות מהריב""ש, המצוטטות רבות בשולחן ערוך; רבי יעקב בירב הסתמך רבות על פסקיו והעדיפם על פני שאר הפוסקים."
"שו""ת>ראשונים","שו""ת הר""ן","ר""ן","ספר שאלות ותשובות מאת רבי נסים בן ר' ראובן גִירוֹנְדִי (הר""ן), חכם נודע בין ראשוני ספרד במאה ה-14, בו עסק בשאלות הלכתיות שקיבל ממקומות רבים ושונים.","רבנו ניסים מג'ירונה היה חכם מהמאה ה-14 שהתפרסם בעיקר כפוסק הלכה. את השאלות ההלכתיות הוא קיבל מיהודי ארצו שבספרד וכן מצרפת, איטליה, אפריקה וארץ ישראל. רבנו נסים השיב על כ-1000 שאלות מתוכן השתמרו רק 77 השאלות שפורסמו בחיבור זה. ספר השאלות והתשובות (שו""ת) כולל שאלות אישיות וקהילתיות ומתפרש על מגוון נושאים.","רבנו נסים מגירונה היה חכם מהמאה ה-14 שנודע בעיקר כפוסק הלכה. שאלות הלכתיות הגיעו אליו מיהודי ספרד וכן מצרפת, איטליה, אפריקה וארץ ישראל. הוא השיב על כאלף שאלות, מהן השתמרו רק 77 שפורסמו בחיבור זה. ספר השאלות והתשובות כולל שאלות אישיות וקהילתיות במגוון נושאים."
"שו""ת>ראשונים","תשובות הר""י מיגאש","יוסף אבן מיגאש","שאלות ותשובות מאת הרב הספרדי בן המאה ה-12, הרב יוסף הלוי אבן מיגאש, תלמידו של הרי""ף, שנכתבו במקור בערבית.","",""
"שו""ת>ראשונים","תשובות הרשב""ש","שלמה בן שמעון דוראן","שאלות ותשובות מאת הרב שלמה דוראן, בן המאה ה-15, בנו של התשב""ץ.","",""
"שו""ת>ראשונים>רמב""ם","איגרות הרמב""ם","רמב""ם","אוסף של מכתבים פומביים שכתב הרמב""ם על נושאים כדוגמת העולם הבא ומוות על קידוש השם.","",""
"שו""ת>ראשונים>רמב""ם","תשובות הרמב""ם","רמב""ם","תשובותיו ההלכתיות של הרמב""ם, שעונות על השאלות בקצרה ובלי להרחיב.","שו""ת מהרמב""ם, נדפסו בליפסיא תחת השם ""קובץ תשובות הרמב""ם ואגרותיו"". תשובות נוספות נדפסו באמסטרדם תחת השם ""פאר הדור.""","שאלות ותשובות מהרמב""ם. חלקן נדפסו בלייפציג תחת השם 'קובץ תשובות הרמב""ם ואגרותיו', ותשובות נוספות נדפסו באמסטרדם תחת השם 'פאר הדור'."
"שו""ת>ראשונים","מהר""י ברונא","ישראל בן חיים ברונא","שאלות ותשובות מאת רבי ישראל מברונא, בן המאה ה-15, תלמידו של המהר""י וייל. אחד מן המקורות המצוטטים ביותר בהגהות הרמ""א לשולחן ערוך.","",""
"שו""ת>ראשונים","שו""ת מהרי""ק","יוסף קולון","שאלות ותשובות מאת הרב יוסף קולון טרבוטו, גדול רבני איטליה במאה ה-15, המצוטטות רבות בהגהות הרמ""א לשולחן ערוך.","",""
"שו""ת>ראשונים","תשובות מהר""ח אור זרוע","מהר""ח אור זרוע","שאלות ותשובות של הרב חיים אליעזר, פוסק הלכה אשכנזי בן המאה ה-13, בנו של ״האור זרוע.""","",""
"שו""ת>ראשונים","תשובות הרא""ש","רא""ש","שאלות ותשובות מאת רבי אשר בן יחיאל, בן המאה ה-14, שנכתבו בעיקר בספרד והושפעו גם ממוצאו הגרמני. מצוטטות רבות אצל בנו של המחבר, הטור, וכן בשולחן ערוך.","תשובות של ר' אשר בן יחיאל לשאלות הלכתיות שהתקבלו מקהילות יהודיות בגרמניה, פרובנס, צפון אפריקה, ולאחר מותו של רשב""א גם מספרד. לתשובות הרא""ש ישנה עריכה ייחודית המבדילה אותו מיתר תשובות הראשונים, בכך שהתשובות נערכו בקבצים (המכונים ""כלל"") לפי נושאים, ותחת הכותרת ""כלל"" נתקבצו מספר תשובות העוסקות באותו נושא, למרות היותן לשואלים שונים ובתקופות שונות.","תשובות רבי אשר בן יחיאל לשאלות הלכתיות שהגיעו מקהילות יהודיות בגרמניה, בפרובנס ובצפון אפריקה, ולאחר פטירת הרשב""א גם מספרד. לתשובות הרא""ש עריכה ייחודית המבדילה אותן משאר תשובות הראשונים: התשובות נערכו בקבצים (הקרויים 'כלל') לפי נושאים, ותחת כל 'כלל' נקבצו תשובות העוסקות באותו נושא, אף שנכתבו לשואלים שונים ובתקופות שונות."
"שו""ת>ראשונים","שו""ת מהרי""ל","יעקב לוי מולין","שאלות ותשובות מאת רבי יעקב הלוי מולין מגרמניה, בן המאה ה-15, המצוטטות רבות בהגהות הרמ""א לשולחן ערוך.","חלק מתשובותיו של מהרי""ל, שראו אור לראשונה בוינציה בשנת שט""ז. תשובות נוספות נדפסו לאחרונה תחת השם ""שו""ת מהרי""ל החדשות.""","חלק מתשובותיו של מהרי""ל, שראו אור לראשונה בוונציה בשנת שט""ז. תשובות נוספות נדפסו תחת השם 'שו""ת מהרי""ל החדשות'."
"שו""ת>ראשונים","מהר""י וייל","יעקב וייל","שאלות ותשובות מאת רבי יעקב וייל מגרמניה, בן המאה ה-15, המצוטטות פעמים רבות בהגהות הרמ""א לשולחן ערוך.","",""
"שו""ת>ראשונים","תשובות רש""י","רש״י","שאלות ותשובות מאת רבי שלמה יצחקי, הפרשן הצרפתי הנודע של התנ""ך והתלמוד בן המאה ה-11, שנאספו ויצאו לאור במאה ה-20.","",""
"שו""ת>ראשונים","תרומת הדשן","ישראל איסרלן","שאלות ותשובות מאת רבי ישראל איסרלין מאוסטריה, בן המאה ה-15, המצוטטות פעמים רבות בהגהות הרמ""א לשולחן ערוך.","",""
"שו""ת>ראשונים","שאלות ותשובות מן השמים","יעקב הלוי ממרויש","שאלות ותשובות מאת הרב יעקב ממרויש, מבעלי התוספות בצרפת במאה ה-13, שלדבריו הגיעו אליו מן השמיים בחלומותיו.","תשובות מבית דין של מעלה לשאלות שנשאלו על ידי שאלת חלום.","שאלות ותשובות מאת הרב יעקב ממרויש, מבעלי התוספות בצרפת במאה ה-13. התשובות התקבלו מבית דין של מעלה בשאלת חלום."
"שו""ת>ראשונים","תשובות מהר""ם","מהר""ם מרוטנבורג","שאלות ותשובות שנכתבו בגרמניה במאה ה-13, המתמקדות בסוגיות ממון ובסבלם של יהודי גרמניה תחת עול המיסוי הכבד שהוטל עליהם.","תשובות של רב מאיר בן ברוך (מהר""ם) מרוטנבורג, שהיה הסמכות הרבנית הראשית בגרמניה במאה ה-13. הוא המשיך לענות לשאלות הלכתיות גם לאחר מאסרו על ידי רודולף הראשון באנסיסהיים בשנת 1286. יש ארבעה אוספים מודפסים של תשובותיו (קרמונה 1558, פראג 1608, למברג 1860, ברלין 1891).","תשובות רבי מאיר בן ברוך (מהר""ם) מרוטנבורג, שהיה הסמכות הרבנית העליונה בגרמניה במאה ה-13. הוא המשיך להשיב לשאלות הלכתיות אף לאחר שנאסר על ידי רודולף הראשון באנסיסהיים בשנת 1286. קיימים ארבעה אוספים מודפסים של תשובותיו (קרמונה 1558, פראג 1608, למברג 1860, ברלין 1891)."
"שו""ת>ראשונים","ספר התשב""ץ","שמעון בן צמח דוראן","שאלות ותשובות מאת הרב שמעון בן צמח דוראן מצפון אפריקה, בן המאה ה-15, הכוללות גם מכתבים בתחומי המתמטיקה, ההיסטוריה והדקדוק.","שו""ת מהרשב""ץ (תשב""ץ = תשובות שמעון בן צמח).","שאלות ותשובות מהרשב""ץ (תשב""ץ — ראשי תיבות: תשובות שמעון בן צמח)."
